Company,Date,ESG Score,ESG Combined Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
LH.N,12/31/2014,51.76279743,51.76279743,100,0,0,NULL,41.83673469,0,52.04081633,77.90697674,95.38381743,82.52074689,0
LH.N,12/31/2013,49.41211052,49.41211052,100,0,0,NULL,43.75,0,50,81.94444444,81.10766046,91.14906832,0
LH.N,12/31/2012,50.15379166,50.15379166,100,0,0,NULL,46.05263158,0,44.73684211,81.42857143,89.10123967,81.25,0
LH.N,12/31/2011,54.3747537,54.3747537,57.69230769,0,0,NULL,47.43589744,0,56.41025641,84.375,95.15306122,90.86734694,0
LH.N,12/31/2010,57.67299582,57.67299582,68.75,0,0,NULL,79.76190476,0,66.66666667,87.5,92.78506559,76.84157417,0
LH.N,12/31/2009,50.18863647,50.18863647,66.66666667,0,0,NULL,80.26315789,0,71.05263158,88.33333333,58.41121495,80.73727934,0
LHX.N,1/3/2020,44.99565317,44.99565317,100,58.47457627,67.54385965,9.523809524,65.06849315,65.09433962,54.79452055,8.333333333,43.9122807,52.92982456,40.03099174
LHX.N,6/29/2018,43.0127995,43.0127995,100,55,25,10,51.49253731,51.06382979,55.97014925,9.523809524,78.31772053,37.64637002,6.930693069
LHX.N,6/30/2017,44.37228094,44.37228094,100,54.25531915,23.33333333,10.25641026,57.46268657,67.39130435,56.71641791,10.31746032,72.88237656,30.48976315,7.496463932
LHX.N,7/1/2016,47.51995282,47.51995282,100,59.30232558,25,8.571428571,62.5,75.58139535,50,10.16949153,84.0077486,27.9164873,7.769230769
LHX.N,7/3/2015,44.5511534,44.5511534,100,61.62790698,15.27777778,11.42857143,59.43396226,28.94736842,74.52830189,26.92307692,80.93905473,44.4340796,8.333333333
LHX.N,6/27/2014,30.64366266,30.64366266,100,48.61111111,13.63636364,0,26.25,14.81481481,23.75,34.61538462,70.17634855,56.53526971,8.441558442
LHX.N,6/28/2013,31.90603991,31.90603991,100,65.15151515,18.57142857,0,26.25,17.39130435,26.92307692,28.94736842,80.27950311,15.0621118,10.03649635
LHX.N,6/29/2012,23.6335686,23.6335686,100,57.8125,19.11764706,0,34.61538462,23.68421053,8.974358974,26.31578947,23.70867769,74.38016529,9.89010989
LHX.N,7/1/2011,34.21590798,34.21590798,100,57.8125,13.63636364,0,36.25,22.5,28.75,27.02702703,73.1122449,61.68367347,11.28107075
LHX.N,7/2/2010,36.96803545,36.96803545,100,62.90322581,17.1875,0,36.48648649,25,71.62162162,26.47058824,56.05449041,54.74268416,46.6
LIN.N,12/31/2018,85.16535412,85.16535412,87.03703704,99.72527473,97.05882353,66.77852349,94.44444444,93.26923077,95.65217391,94.58762887,73.95833333,23.95833333,84.28571429
LIN.N,12/31/2017,75.93951375,75.93951375,100,99.6835443,99.69512195,66.66666667,99.17127072,92.91338583,97.51381215,93.75,1.25,38.75,91.93548387
LIN.N,12/31/2016,72.07365144,72.07365144,100,91.88311688,99.07407407,66.14173228,99.71751412,81.03448276,90.11299435,94.17177914,1.25,31.25,89.28571429
LIN.N,12/31/2015,69.54304027,69.54304027,100,90.68965517,98.98648649,62.60504202,99.6969697,62.5,91.81818182,93.04635762,6.097560976,35.36585366,86.95652174
LIN.N,12/31/2014,69.70889258,69.70889258,100,90.8,99.62406015,56.88073394,99.64788732,68.23529412,91.07142857,92.85714286,3.947368421,43.42105263,87.5
LIN.N,12/31/2013,67.82631414,67.82631414,100,83.6,98.85496183,56.01851852,99.64788732,68.98734177,80.79710145,93.46153846,1.388888889,45.83333333,93.75
LIN.N,12/31/2012,70.3751939,70.3751939,100,77.45901639,98.80952381,59.61538462,98.91304348,84.66666667,82.11678832,94.04761905,4.166666667,48.61111111,91.66666667
LIN.N,12/31/2011,72.19401798,72.19401798,85.18518519,84.3220339,98.76033058,61.38613861,98.87218045,86.23188406,79.45736434,95.45454545,4.285714286,58.57142857,94
LIN.N,12/31/2010,73.6098047,73.6098047,86,77.43362832,97.82608696,95.40816327,91.796875,81.14754098,78.17460317,91.96428571,6.944444444,48.61111111,82
LIN.N,12/31/2009,83.5091323,83.5091323,100,82.63157895,98.45360825,81.3253012,73.80952381,81.63265306,64.5631068,91.20879121,95.58823529,63.23529412,70.45454545
LKQ.OQ,12/31/2019,19.0194442,19.0194442,100,0,2.710843373,0,10.22099448,17.33333333,53.59116022,19.76047904,39.73684211,54.80701754,0
LKQ.OQ,12/31/2018,17.5080397,17.5080397,100,0,2.333333333,0,8.13253012,0,42.1686747,21.75324675,51.97111632,55.6010929,0
LKQ.OQ,12/31/2017,13.88172852,13.88172852,100,2.255639098,16.796875,0,3.082191781,0,46.23287671,5.555555556,29.32557206,56.50341228,0
LKQ.OQ,12/31/2016,18.58929348,18.58929348,100,2.192982456,19.54545455,0,7.364341085,0,47.28682171,7.203389831,62.48385708,23.611709,0
LKQ.OQ,12/31/2015,17.01288987,17.01288987,100,1.98019802,13.02083333,0,16.81034483,0,61.63793103,7.766990291,41.38681592,30.37935323,0
LKQ.OQ,12/31/2014,19.1303017,19.1303017,100,3.409090909,11.79775281,0,27.40384615,0,70.67307692,9.340659341,43.10165975,28.26763485,0
LKQ.OQ,12/31/2013,20.12377981,20.12377981,100,2.409638554,12.06896552,0,27.22772277,0,60.20408163,12.64367816,50.36231884,37.52587992,0
LKQ.OQ,12/31/2012,16.62494434,16.62494434,63.79310345,3.012048193,13.52941176,0,19.6969697,0,59.27835052,14.36781609,32.90289256,34.14256198,0
