Company,Name,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Activity Name
CAH.N,CARDINAL HLTH,Cardinal Health Inc,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Drug Retailers (NEC)
CARR.N,CARRR GLB CR ORD,Carrier Global Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Heating, Ventilation & Air Conditioning Systems"
CAT.N,CATERPILLAR INC,Caterpillar Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Construction Machinery
CB.N,CHUBB LIMITED,Chubb Ltd,Financials,Insurance,Insurance,Multiline Insurance & Brokers (NEC)
CBOE.Z,CBOE GLOBAL MKT,Cboe Global Markets Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Financial & Commodity Market Operators & Service Providers (NEC)
CBRE.N,CBRE GROUP INC,CBRE Group Inc,Financials,Real Estate,Real Estate Operations,Real Estate Services (NEC)
CCI.N,CROWN CASTLE,Crown Castle International Corp,Financials,Real Estate,Residential & Commercial REITs,Specialized REITs (NEC)
CCL.N,CARNIVAL CORP,Carnival Corp,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Cruise Lines
CDNS.OQ,CADENCE DESIGN,Cadence Design Systems Inc,Technology,Software & IT Services,Software & IT Services,Software (NEC)
CDW.OQ,CDW CORP,CDW Corp,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
CE.N,CELANESE,Celanese Corp,Basic Materials,Chemicals,Chemicals,Commodity Chemicals (NEC)
CERN.OQ,CERNER CORP,Cerner Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
CF.N,CF INDUSTRIES,CF Industries Holdings Inc,Basic Materials,Chemicals,Chemicals,Fertilizers
CFG.N,CITIZENS FINANL,Citizens Financial Group Inc,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
CHD.N,CHURCH DWIGHT,Church & Dwight Co Inc,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,Household Products (NEC)
CHRW.OQ,CH ROBINSON WW,CH Robinson Worldwide Inc,Industrials,Transportation,Freight & Logistics Services,Ground Freight & Logistics (NEC)
CHTR.OQ,CHARTER COMM ORD,Charter Communications Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Cable Service Providers
CI.N,CIGNA CORP,Cigna Corp,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Managed Healthcare (NEC)
CINF.OQ,CINCINNATI FIN,Cincinnati Financial Corp,Financials,Insurance,Insurance,Property & Casualty Insurance (NEC)
CL.N,COLGATE PALMOLIV,Colgate-Palmolive Co,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,Personal Products (NEC)
CLX.N,CLOROX CO,Clorox Co,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,Household Products (NEC)
CMA.N,COMERICA INC,Comerica Inc,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
CMCSA.OQ,COMCAST CORP A,Comcast Corp,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Broadcasting (NEC)
CME.OQ,CME GROUP INC A,CME Group Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Securities & Commodity Exchanges
CMG.N,CHIPOTLE MX GRL,Chipotle Mexican Grill Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Quick Service Restaurants
CMI.N,CUMMINS INC,Cummins Inc,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Engine & Powertrain Systems
CMS.N,CMS ENERGY CORP,CMS Energy Corp,Utilities,Utilities,Multiline Utilities,Multiline Utilities
CNC.N,CENTENE CORP,Centene Corp,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Managed Healthcare (NEC)
CNP.N,CENTERPOINT,CenterPoint Energy Inc,Utilities,Utilities,Multiline Utilities,Multiline Utilities
COF.N,CAP ONE FINAN,Capital One Financial Corp,Financials,Banking & Investment Services,Banking Services,Consumer Credit Cards Services
COG.N,CABOT OIL GAS,Cabot Oil & Gas Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
COO.N,COOPER COS INC,Cooper Companies Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Glasses, Spectacles & Contact Lenses"
COP.N,CONOCOPHILLIPS,ConocoPhillips,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
COST.OQ,COSTCO WHOLESAL,Costco Wholesale Corp,Consumer Cyclicals,Retailers,Diversified Retail,Discount Stores (NEC)
COTY.N,COTY INC,Coty Inc,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,Cosmetics & Perfumes
CPB.N,CAMPBELL SOUP CO,Campbell Soup Co,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing (NEC)
CPRT.OQ,COPART INC,Copart Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Used Car Dealers
CRM.N,SALESFORCE COM,Salesforce.Com Inc,Technology,Software & IT Services,Software & IT Services,Cloud Computing Services
CSCO.OQ,CISCO SYSTEMS,Cisco Systems Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking (NEC)
CSX.OQ,CSX CORPORATION,CSX Corp,Industrials,Transportation,Freight & Logistics Services,Railway Freight Operators
CTAS.OQ,CINTAS CORP,Cintas Corp,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services (NEC)
CTL.N,CENTURYLINK INC,Centurylink Inc,Telecommunications Services,Telecommunications Services,Telecommunications Services,Integrated Telecommunications Services (NEC)
CTSH.OQ,COGNIZANT TECH,Cognizant Technology Solutions Corp,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
CTVA.N,CORTEVA INC,Corteva Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Fishing & Farming (NEC)
CTXS.OQ,CITRIX SYSTEMS,Citrix Systems Inc,Technology,Software & IT Services,Software & IT Services,Software (NEC)
CVS.N,CVS HEALTH CRPTN,CVS Health Corp,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services (NEC)
CVX.N,CHEVRON,Chevron Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Petroleum Refining
CXO.N,CONCHO RESOURCES,Concho Resources Inc,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
D.N,DOMINON ENRG INC,Dominion Energy Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
DAL.N,DELTA AIR LIN,Delta Air Lines Inc,Industrials,Transportation,Passenger Transportation Services,Airlines (NEC)
DD.N,DUPONT DE NMOURS,Dupont De Nemours Inc,Basic Materials,Chemicals,Chemicals,Diversified Chemicals
DE.N,DEERE & CO,Deere & Co,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Agricultural Machinery
DFS.N,DISCOVER FINANC,Discover Financial Services,Financials,Banking & Investment Services,Banking Services,Consumer Lending (NEC)
DG.N,DOLLAR GNRL CORP,Dollar General Corp,Consumer Cyclicals,Retailers,Diversified Retail,Discount Stores (NEC)
DGX.N,QUEST DIAG,Quest Diagnostics Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services (NEC)
DHI.N,D.R. HORTON INC,D.R. Horton Inc,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Homebuilding (NEC)
DHR.N,DANAHER,Danaher Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
DIS.N,WALT DISNEY CO,Walt Disney Co,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Broadcasting (NEC)
DISCA.OQ,DISCOVERY INC A,Discovery Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Television Broadcasting
DISCK.OQ,DISCOVERY INC C,Discovery Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Television Broadcasting
DISH.OQ,DISH NETWORK A,DISH Network Corp,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Cable Service Providers
DLR.N,DIGITAL REALTY,Digital Realty Trust Inc,Financials,Real Estate,Residential & Commercial REITs,Commercial REITs (NEC)
DLTR.OQ,DOLLAR TREE INC,Dollar Tree Inc,Consumer Cyclicals,Retailers,Diversified Retail,Discount Stores without Grocery
DOV.N,DOVER CORP,Dover Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC)
DOW.N,DOW INC,Dow Inc,Basic Materials,Chemicals,Chemicals,Plastics
DPZ.N,DOMINOS PIZZA,Domino's Pizza Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Quick Service Restaurants
DRE.N,DUKE REALTY,Duke Realty Corp,Financials,Real Estate,Residential & Commercial REITs,Industrial REITs
DRI.N,DARDEN REST,Darden Restaurants Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Restaurants & Bars (NEC)
DTE.N,DTE ENERGY,DTE Energy Co,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
DUK.N,DUKE ENERGY,Duke Energy Corp,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
DVA.N,DAVITA INC,DaVita Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services (NEC)
DVN.N,DEVON ENERG,Devon Energy Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
DXC.N,DXC TECHNLGY COM,DXC Technology Co,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
DXCM.OQ,DEXCOM,DexCom Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution (NEC)"
EA.OQ,ELECTRONIC ART,Electronic Arts Inc,Technology,Software & IT Services,Software & IT Services,Application Software
EBAY.OQ,EBAY INC,eBay Inc,Technology,Software & IT Services,Software & IT Services,E-commerce & Auction Services
ECL.N,ECOLAB INC,Ecolab Inc,Basic Materials,Chemicals,Chemicals,Specialty Chemicals (NEC)
ED.N,CONSOL EDISON,Consolidated Edison Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
EFX.N,EQUIFAX INC,Equifax Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Professional Information Services (NEC)
EIX.N,EDISON INTL,Edison International,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
EL.N,ESTEE LAUDER,Estee Lauder Companies Inc,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,Personal Products (NEC)
EMN.N,EASTMAN CHEM,Eastman Chemical Co,Basic Materials,Chemicals,Chemicals,Commodity Chemicals (NEC)
EMR.N,EMERSON ELECTRIC,Emerson Electric Co,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment (NEC)
EOG.N,EOG RESOURCES,EOG Resources Inc,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
EQIX.OQ,EQUINIX INC,Equinix Inc,Financials,Real Estate,Residential & Commercial REITs,Commercial REITs (NEC)
EQR.N,EQ RESIDENT,Equity Residential,Financials,Real Estate,Residential & Commercial REITs,Residential REITs
ES.N,EVERSOURCE ENRGY,Eversource Energy,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
ESS.N,ESSEX PROP TR,Essex Property Trust Inc,Financials,Real Estate,Residential & Commercial REITs,Residential REITs
ETFC.OQ,E*TRADE FINCL CP,E*Trade Financial Corp,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Banking & Brokerage Services (NEC)
ETN.N,EATON CORP,Eaton Corporation PLC,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment (NEC)
ETR.N,ENTERGY CP,Entergy Corp,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
EVRG.N,EVERGY INC,Evergy Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
EW.N,EDWARDS LIFE,Edwards Lifesciences Corp,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
EXC.OQ,EXELON CORPRTN,Exelon Corp,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
EXPD.OQ,EXPEDITORS,Expeditors International of Washington Inc,Industrials,Transportation,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics (NEC)"
EXPE.OQ,EXPEDI GROUP INC,Expedia Group Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Travel Agents
EXR.N,EXTRA SPACE STRG,Extra Space Storage Inc,Financials,Real Estate,Residential & Commercial REITs,Self-Storage REITs
F.N,FORD MOTOR CO,Ford Motor Co,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Manufacturers (NEC)
FANG.OQ,DIAMOND BAK ENGY,Diamondback Energy Inc,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production (NEC)
FAST.OQ,FASTENAL CO,Fastenal Co,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment Wholesale
FB.OQ,FACEBOOK INC A,Facebook Inc,Technology,Software & IT Services,Software & IT Services,Social Media & Networking
FBHS.N,FORTUNE BR HO SC,Fortune Brands Home & Security Inc,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Construction Supplies & Fixtures (NEC)
FCX.N,FREEPORTMCMORAN,Freeport-McMoRan Inc,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals (NEC)
FDX.N,FEDEX CORP,FedEx Corp,Industrials,Transportation,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics (NEC)"
FE.N,FIRSTENERGY,FirstEnergy Corp,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities (NEC)
FFIV.OQ,F5 NETWORKS INC,F5 Networks Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
FIS.N,FIDELITY NATL IN,Fidelity National Information Services Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Financial Technology & Infrastructure
FISV.OQ,FISERV INC,Fiserv Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Transaction & Payment Services
FITB.OQ,FIFTH THR BNCP,Fifth Third Bancorp,Financials,Banking & Investment Services,Banking Services,Corporate Banks
FLIR.OQ,FLIR SYSTEMS,FLIR Systems Inc,Technology,Technology Equipment,Communications & Networking,Security & Surveillance
FLS.N,FLOWSERVE CP,Flowserve Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Pump & Pumping Equipment
FLT.N,FLEETCOR TECHNO,Fleetcor Technologies Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Transaction & Payment Services
FMC.N,FMC CORP,FMC Corp,Basic Materials,Chemicals,Chemicals,Diversified Chemicals
FOX.OQ,FOX CORP B,Fox Corp,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Television Broadcasting
FOXA.OQ,FOX CORP A,Fox Corp,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Television Broadcasting
FRC.N,FRST REPBLIC BNK,First Republic Bank,Financials,Banking & Investment Services,Banking Services,Corporate Banks
FRT.N,FED RLTY INV TR,Federal Realty Investment Trust,Financials,Real Estate,Residential & Commercial REITs,Commercial REITs (NEC)
FTI.N,TECHNIPFMC PLC,TechnipFMC PLC,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment (NEC)
FTNT.OQ,FORTINET,Fortinet Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
FTV.N,FORTIVE CORPORTN,Fortive Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC)
GD.N,GENERAL DYNAMICS,General Dynamics Corp,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense (NEC)
GE.N,GENERAL ELEC CO,General Electric Co,Industrials,Industrial Conglomerates,Industrial Conglomerates,Industrial Conglomerates
GILD.OQ,GILEAD SCI,Gilead Sciences Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Bio Therapeutic Drugs
GIS.N,GENERAL MILLS,General Mills Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing (NEC)
GL.N,GLOBE LIFE INC,Globe Life Inc,Financials,Insurance,Insurance,Life Insurance
GLW.N,CORNING INC,Corning Inc,Technology,Technology Equipment,Electronic Equipment & Parts,Display Screens
GM.N,GENERAL MOTORS,General Motors Co,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Manufacturers (NEC)
GOOG.OQ,ALPHABET INC C,Alphabet Inc,Technology,Software & IT Services,Software & IT Services,Search Engines
GOOGL.OQ,ALPHABET INC A,Alphabet Inc,Technology,Software & IT Services,Software & IT Services,Search Engines
GPC.N,GENUINE PARTS CO,Genuine Parts Co,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Parts Wholesale
GPN.N,GLOBL PAYMNTS,Global Payments Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Transaction & Payment Services
GPS.N,GAP INC,Gap Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Apparel & Accessories Retailers (NEC)
GRMN.OQ,GARMIN LTD,Garmin Ltd,Technology,Technology Equipment,Communications & Networking,Security & Surveillance
GS.N,GOLDM SACHS GRP,Goldman Sachs Group Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Banking & Brokerage Services (NEC)
GWW.N,W W GRAINGER INC,W W Grainger Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC)
HAL.N,HALLIBURTON CO,Halliburton Co,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment (NEC)
HAS.OQ,HASBRO INC,Hasbro Inc,Consumer Cyclicals,Cyclical Consumer Products,Leisure Products,Toys & Children's Products (NEC)
HBAN.OQ,HUNTGTN BKSHR,Huntington Bancshares Inc,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
HBI.N,HANESBRANDS,HanesBrands Inc,Consumer Cyclicals,Cyclical Consumer Products,Textiles & Apparel,Apparel & Accessories (NEC)
HCA.N,HCA HEALTHCARE,HCA Healthcare Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services (NEC)
HD.N,HOME DEPOT INC,Home Depot Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Home Improvement Products & Services Retailers (NEC)
HES.N,HESS CORP,Hess Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing (NEC)
HFC.N,HOLLYFRONTR CORP,HollyFrontier Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Petroleum Refining
HIG.N,HARTFORD FINL,Hartford Financial Services Group Inc,Financials,Insurance,Insurance,Multiline Insurance & Brokers (NEC)
HII.N,HUNTINGTN INGALS,Huntington Ingalls Industries Inc,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense (NEC)
HLT.N,HILTON WLDWD HLD,Hilton Worldwide Holdings Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines (NEC)"
HOLX.OQ,HOLOGIC INC,Hologic Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
HON.N,HONEYWELL INTL,Honeywell International Inc,Industrials,Industrial Conglomerates,Industrial Conglomerates,Industrial Conglomerates
HPE.N,HWLTT PCKRD ENTP,Hewlett Packard Enterprise Co,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Computer Hardware (NEC)
HPQ.N,HP INC,HP Inc,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Computer Hardware (NEC)
HRB.N,H & R BLOCK INC,H & R Block Inc,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,Accounting & Tax Preparation
HRL.N,HORMEL FOODS,Hormel Foods Corp,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Meat Processing
HSIC.OQ,HENRY SCHEIN,Henry Schein Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Medical Equipment Wholesale
HST.N,HOST HOTL&RES,Host Hotels & Resorts Inc,Financials,Real Estate,Residential & Commercial REITs,Hospitality REITs
HSY.N,HERSHEY CO,Hershey Co,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing (NEC)
HUM.N,HUMANA INC,Humana Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Managed Healthcare (NEC)
HWM.N,HOWMET ARSPC ORD,Howmet Aerospace Inc,Basic Materials,Mineral Resources,Metals & Mining,Aluminum Rolling
IBM.N,INTL BUS MACHINE,International Business Machines Corp,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
ICE.N,INTRCTNTL EXCHNG,Intercontinental Exchange Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Financial & Commodity Market Operators & Service Providers (NEC)
IDXX.OQ,IDEXX LABS,IDEXX Laboratories Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Veterinary Medical Equipment & Supplies
IEX.N,IDEX,IDEX Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Pump & Pumping Equipment
IFF.N,INTL FLAV & FRAG,International Flavors & Fragrances Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Ingredients
ILMN.OQ,ILLUMINA INC,Illumina Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
INCY.OQ,INCYTE CORP,Incyte Corp,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC)
INFO.N,IHS MARKIT LTD,IHS Markit Ltd,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Financial Information Providers
INTC.OQ,INTEL CORP,Intel Corp,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
INTU.OQ,INTUIT INC,Intuit Inc,Technology,Software & IT Services,Software & IT Services,Enterprise Software
IP.N,INTNL PAPER CO,International Paper Co,Basic Materials,Applied Resources,Containers & Packaging,Paper Packaging (NEC)
IPG.N,INTERPBLIC GRP,Interpublic Group of Companies Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Advertising & Marketing (NEC)
IPGP.OQ,IPG PHOTONICS,IPG Photonics Corp,Technology,Technology Equipment,Electronic Equipment & Parts,Electronic Components
IQV.N,IQVIA HOLDINGS,IQVIA Holdings Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC)
IR.N,INGERSOL RND ORD,Ingersoll Rand Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC)
IRM.N,IRON MOUNTAIN,Iron Mountain Inc,Financials,Real Estate,Residential & Commercial REITs,Commercial REITs (NEC)
ISRG.OQ,INTUITIVE SURG,Intuitive Surgical Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
IT.N,GARTNER,Gartner Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
ITW.N,ILLINOIS TOOL WK,Illinois Tool Works Inc,Industrials,Industrial Conglomerates,Industrial Conglomerates,Industrial Conglomerates
IVZ.N,INVESCO LTD,Invesco Ltd,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management
J.N,JACOB ENGNRG ORD,Jacobs Engineering Group Inc,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering (NEC)
JBHT.OQ,J.B. HUNT TRAN,J B Hunt Transport Services Inc,Industrials,Transportation,Freight & Logistics Services,Freight Trucking
JCI.N,JOHNSN CNTRL INT,Johnson Controls International PLC,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Heating, Ventilation & Air Conditioning Systems"
JKHY.OQ,JACK HENRY ASO,Jack Henry & Associates Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
JNJ.N,JOHNSON JOHNSON,Johnson & Johnson,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals (NEC)
JNPR.N,JUNIPER NETWRKS,Juniper Networks Inc,Technology,Technology Equipment,Communications & Networking,Network Equipment
JPM.N,JPMORGAN CHASE,JPMorgan Chase & Co,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
K.N,KELLOGG CO,Kellogg Co,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing (NEC)
KEY.N,KEYCORP NEW,KeyCorp,Financials,Banking & Investment Services,Banking Services,Banks (NEC)
KEYS.N,KEYSIGHT TCH INC,Keysight Technologies Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Measuring & Testing Instruments
KHC.OQ,THE KRFT HNZ CO,Kraft Heinz Co,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing (NEC)
KIM.N,KIMCO REALTY CP,Kimco Realty Corp,Financials,Real Estate,Residential & Commercial REITs,Retail REITs
KLAC.OQ,KLA CORP,KLA Corp,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Testing Equipment & Service
KMB.N,KIMBERLY-CLARK,Kimberly-Clark Corp,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,Sanitary Products
KMI.N,KINDER MORGAN,Kinder Morgan Inc,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services (NEC)
KMX.N,CARMAX INC,Carmax Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Used Car Dealers
KO.N,COCA-COLA CO,Coca-Cola Co,Consumer Non-Cyclicals,Food & Beverages,Beverages,Non-Alcoholic Beverages (NEC)
KR.N,KROGER CO,Kroger Co,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Food Retail & Distribution (NEC)
KSS.N,KOHL'S CRP,Kohls Corp,Consumer Cyclicals,Retailers,Diversified Retail,General Department Stores
KSU.N,KANSAS CITY SO,Kansas City Southern,Industrials,Transportation,Freight & Logistics Services,Ground Freight & Logistics (NEC)
L.N,LOEWS CORP,Loews Corp,Financials,Insurance,Insurance,Property & Casualty Insurance (NEC)
LB.N,L BRANDS INC,L Brands Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Apparel & Accessories Retailers (NEC)
LDOS.N,LEIDOS HLDGS INC,Leidos Holdings Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting (NEC)
LEG.N,LEGGETT& PLATT,Leggett & Platt Inc,Consumer Cyclicals,Cyclical Consumer Products,Household Goods,Home Furnishings (NEC)
LEN.N,LENNAR CP CL A,Lennar Corp,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Residential Builders - Single Homes
LH.N,LAB CRP OF AMER,Laboratory Corporation of America Holdings,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services (NEC)
