Company,Name,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Activity Name
TJX.N,TJX CO INC,TJX Companies Inc,Consumer Cyclicals,Retailers,Diversified Retail,Discount Stores without Grocery
TMO.N,THERMO FISHER SC,Thermo Fisher Scientific Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology (NEC)
TMUS.OQ,T MOBILE US IN,T-Mobile US Inc,Telecommunications Services,Telecommunications Services,Telecommunications Services,Wireless Telecommunications Services (NEC)
TPR.N,TAPESTRY INC ORD,Tapestry Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Handbags & Luggage Retailers
TROW.OQ,T ROWE PRICE GP,T. Rowe Price Group Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators (NEC)
TRV.N,THE TRAVELERS CO,Travelers Companies Inc,Financials,Insurance,Insurance,Property & Casualty Insurance (NEC)
TSCO.OQ,TRACTOR SUPPLY,Tractor Supply Co,Consumer Cyclicals,Retailers,Specialty Retailers,Miscellaneous Specialty Retailers (NEC)
TSN.N,TYSON FOODS,Tyson Foods Inc,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Meat Processing
TT.N,TRANE TCHNLG ORD,Trane Technologies PLC,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships","Heating, Ventilation & Air Conditioning Systems"
TTWO.OQ,TAKE TWO,Take-Two Interactive Software Inc,Consumer Cyclicals,Cyclical Consumer Products,Leisure Products,Toys & Children's Products (NEC)
TWTR.N,TWITTER INC,Twitter Inc,Technology,Software & IT Services,Software & IT Services,Social Media & Networking
TXN.OQ,TEXAS INSTRUMENT,Texas Instruments Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors (NEC)
TXT.N,TEXTRON INC,Textron Inc,Industrials,Industrial Goods,Aerospace & Defense,Commercial Aircraft Manufacturing
TYL.N,TYLER TECHNOL,Tyler Technologies Inc,Technology,Software & IT Services,Software & IT Services,Software (NEC)
UA.N,UNDER ARMOUR C,Under Armour Inc,Consumer Cyclicals,Cyclical Consumer Products,Textiles & Apparel,Apparel & Accessories (NEC)
